trial,choice,outcome,choice_rt,true_prob_A,smooth
1,0,1,1.2328541800379753,0.7,0.16666666666666666
2,0,0,1.2281748380046338,0.7,0.16666666666666666
3,1,0,1.1714822729118168,0.7,0.16666666666666666
4,0,1,0.573054833104834,0.7,0.16666666666666666
5,0,1,0.4848520199302584,0.7,0.3333333333333333
6,0,0,0.32200772198848426,0.7,0.5
7,0,0,0.3250842579873279,0.7,0.6666666666666666
8,0,0,0.42142188898287714,0.7,0.8333333333333334
9,1,1,0.5018323650583625,0.7,1
10,1,1,0.3832741701044142,0.7,1
11,1,0,0.4243528879014775,0.7,1
12,1,1,0.34441228897776455,0.7,1
13,1,1,0.3628146309638396,0.7,1
14,1,1,0.6946443570777774,0.7,1
15,1,0,0.4272905869875103,0.7,1
16,1,1,0.3457570660393685,0.7,1
17,1,1,0.3505083800991997,0.7,1
18,1,0,0.358042941079475,0.30000000000000004,0.8333333333333334
19,1,1,0.37066391995176673,0.30000000000000004,0.6666666666666666
20,1,0,0.3039255569456145,0.30000000000000004,0.6666666666666666
21,1,0,0.35246166691649705,0.30000000000000004,0.5
22,1,1,0.3352339389966801,0.30000000000000004,0.3333333333333333
23,0,1,0.2921663239831105,0.30000000000000004,0.16666666666666666
24,0,0,0.3561135990312323,0.30000000000000004,0.3333333333333333
25,1,1,0.2905221239197999,0.30000000000000004,0.5
26,0,0,0.3377912270370871,0.30000000000000004,0.5
27,0,1,0.6726556390058249,0.30000000000000004,0.6666666666666666
28,0,0,0.5866322109941393,0.30000000000000004,0.8333333333333334
29,1,0,0.3811492689419538,0.30000000000000004,1
30,1,1,0.3183684629620984,0.30000000000000004,1
31,1,1,0.48876735800877213,0.30000000000000004,1
32,1,0,0.37758684810251,0.30000000000000004,1
33,1,1,0.4527478109812364,0.7,0.8333333333333334
34,1,1,0.4036454410525039,0.7,0.8333333333333334
35,1,0,0.4555645060027018,0.7,0.8333333333333334
36,1,1,0.41004556708503515,0.7,0.8333333333333334
37,1,1,0.3179982020519674,0.7,0.8333333333333334
38,0,1,0.36724795610643923,0.7,0.8333333333333334
39,1,1,0.3552296969573945,0.7,1
40,1,1,0.30115964903961867,0.7,1
41,1,1,0.4112799080321565,0.7,1
42,1,0,0.34374485700391233,0.7,1
43,1,1,0.6235476889414713,0.7,1
44,1,1,0.3968989900313318,0.7,1
45,1,0,0.3723199360538274,0.7,1
46,1,1,0.7301141410134733,0.7,0.8333333333333334
47,1,0,0.37879100698046386,0.7,0.8333333333333334
48,1,1,0.3730666839983314,0.7,0.8333333333333334
49,1,1,0.325201204046607,0.7,0.8333333333333334
50,1,1,0.3274555340176448,0.7,0.8333333333333334
51,0,0,0.23946976894512773,0.7,0.8333333333333334
52,1,0,0.3618180040502921,0.30000000000000004,0.8333333333333334
53,1,0,0.2945556649938226,0.30000000000000004,0.6666666666666666
54,1,0,0.35177109495271,0.30000000000000004,0.5
55,1,1,0.328221851028502,0.30000000000000004,0.3333333333333333
56,1,0,0.30918893800117075,0.30000000000000004,0.16666666666666666
57,0,1,0.5421972459880635,0.30000000000000004,0.16666666666666666
58,0,1,0.40148189291357994,0.30000000000000004,0.3333333333333333
59,0,0,0.2742805549642071,0.30000000000000004,0.5
60,0,0,0.3643848419887945,0.30000000000000004,0.5
61,0,0,0.44724470807705075,0.30000000000000004,0.6666666666666666
62,1,1,0.3445784569485113,0.30000000000000004,0.8333333333333334
63,1,0,0.5120785540202633,0.30000000000000004,0.8333333333333334
64,1,0,0.33525207394268364,0.30000000000000004,0.8333333333333334
65,0,1,0.2706215860089287,0.30000000000000004,0.8333333333333334
66,1,0,0.31204138800967485,0.30000000000000004,1
67,1,1,0.3219190660165623,0.30000000000000004,1
68,1,0,0.3129830789985135,0.30000000000000004,1
69,1,1,0.3395451430696994,0.30000000000000004,1
70,1,1,0.29604662396013737,0.7,1
71,1,1,0.36362295190338045,0.7,1
72,1,1,0.2893352760002017,0.7,1
73,1,1,0.3543147989548743,0.7,1
74,1,1,0.33564069506246597,0.7,1
75,1,1,0.35509862401522696,0.7,1
76,1,1,0.3092959870118648,0.7,1
77,1,1,0.2991394370328635,0.7,0.8333333333333334
78,1,1,0.3287125990027562,0.7,0.8333333333333334
79,1,0,0.3629924990236759,0.7,0.8333333333333334
80,1,0,0.34304074896499515,0.7,0.8333333333333334
81,1,1,0.4095718970056623,0.7,0.8333333333333334
82,0,0,0.2046659509651363,0.7,0.6666666666666666
83,1,1,0.33793757704552263,0.7,0.8333333333333334
84,1,1,0.4672147270757705,0.7,0.8333333333333334
85,1,0,0.9958948639687151,0.30000000000000004,0.8333333333333334
86,1,0,0.3339569070376456,0.30000000000000004,0.8333333333333334
87,0,1,0.29623151710256934,0.30000000000000004,0.6666666666666666
88,1,0,0.5393008340615779,0.30000000000000004,0.8333333333333334
89,1,1,0.3636134109692648,0.30000000000000004,0.8333333333333334
90,1,0,0.3518225740408525,0.30000000000000004,0.8333333333333334
91,1,0,0.3695631199516356,0.30000000000000004,0.8333333333333334
92,0,0,0.25629862293135375,0.30000000000000004,0.8333333333333334
93,1,1,0.35935942200012505,0.30000000000000004,1
94,1,0,0.3579554429743439,0.30000000000000004,1
95,1,1,0.37447886902373284,0.30000000000000004,1
96,1,0,0.35701037396211177,0.30000000000000004,1
97,1,0,0.35513724596239626,0.30000000000000004,1
98,1,0,0.36317686701659113,0.30000000000000004,1
99,1,0,0.3447555690072477,0.30000000000000004,1
100,1,0,0.33956598793156445,0.30000000000000004,1
101,1,1,0.40230852807872,0.30000000000000004,0.8333333333333334
102,1,1,0.3626120910048485,0.7,0.8333333333333334
103,1,1,0.4058431050507352,0.7,0.8333333333333334
104,1,0,0.3262048619799316,0.7,0.6666666666666666
105,1,0,0.3989307690644637,0.7,0.6666666666666666
106,0,0,0.17925439903046936,0.7,0.6666666666666666
107,1,1,0.4467765879817307,0.7,0.8333333333333334
108,1,1,0.2800475830445066,0.7,0.8333333333333334
109,0,0,0.2715792909730226,0.7,0.8333333333333334
110,1,0,0.3709622439928353,0.7,1
111,1,1,0.33507438004016876,0.7,1
112,1,1,0.33037104504182935,0.7,1
113,1,1,0.3297126649413258,0.7,1
114,1,1,0.3407670820597559,0.7,1
115,1,1,0.34499738400336355,0.7,1
116,1,1,0.3164649870013818,0.7,1
117,1,1,0.3883685329928994,0.7,1
118,1,0,0.3810620689764619,0.7,1
119,1,1,0.36818334204144776,0.7,1
120,1,1,0.42598571302369237,0.7,1
121,1,1,0.38760854909196496,0.30000000000000004,1
122,1,1,0.4022811760660261,0.30000000000000004,1
123,1,1,0.3168927360093221,0.30000000000000004,1
124,1,0,0.29994676099158823,0.30000000000000004,0.8333333333333334
125,1,0,0.33258349902462214,0.30000000000000004,0.8333333333333334
126,1,0,0.353834476089105,0.30000000000000004,0.8333333333333334
127,1,0,0.2685931989690289,0.30000000000000004,0.8333333333333334
128,1,0,0.3577220169827342,0.30000000000000004,0.6666666666666666
129,0,0,0.5800891489489004,0.30000000000000004,0.5
130,1,0,0.36373926792293787,0.30000000000000004,0.5
131,1,0,0.3645416309591383,0.30000000000000004,NA
132,1,0,0.2699767320882529,0.30000000000000004,NA
133,0,1,0.4414877960225567,0.30000000000000004,NA
134,0,0,0.3571700530592352,0.30000000000000004,NA
135,0,1,0.3388493930688128,0.30000000000000004,NA
